"Character" "Taxon" "N" "Mean" "SD" "Min" "5%" "25%" "Median" "75%" "95%" "Max"
"MF1" "MF" "ph" 160 13.3625 2.06646631205735 9 10 12 13 15 17 19
"MF2" "MF" "ps" 240 16.2625 2.0541441936244 9 13 15 16 18 20 22
"MF3" "MF" "st" 132 13.3863636363636 1.78050394818638 10 11 12 13 14.25 16.45 18
"IS" "IS" "hybr" 120 0.866666666666667 0.341359942940377 0 0 1 1 1 1 1
"IS1" "IS" "ph" 160 0.2875 0.454017703918799 0 0 0 0 1 1 1
"IS2" "IS" "ps" 240 0.758333333333333 0.428987975825743 0 0 1 1 1 1 1
"IS3" "IS" "st" 132 0.659090909090909 0.475820632292461 0 0 0 1 1 1 1
"IV" "IV" "hybr" 120 0.983333333333333 0.128555865849279 0 1 1 1 1 1 1
"IV1" "IV" "ph" 160 0 0 0 0 0 0 0 0 0
"IV2" "IV" "ps" 240 0.7 0.459215266610188 0 0 0 1 1 1 1
"IV3" "IV" "st" 132 0.515151515151515 0.501674272914764 0 0 0 1 1 1 1
"AL" "AL" "hybr" 86 3.32674418604651 0.32914306512327 1 3 3.2 3.4 3.5 3.675 3.9
"AL1" "AL" "ph" 125 3.3384 0.225683192165049 2.7 3 3.2 3.4 3.5 3.6 3.9
"AL2" "AL" "ps" 169 3.41183431952663 0.246599870632796 2.9 3 3.2 3.4 3.6 3.8 4
"AL3" "AL" "st" 74 3.14459459459459 0.265939478073073 2.8 2.8 2.9 3.1 3.3 3.6 4
"AW" "AW" "hybr" 85 1.33529411764706 0.102010599767799 1.1 1.2 1.3 1.4 1.4 1.5 1.5
"AW1" "AW" "ph" 125 1.3744 0.114232360818047 1.1 1.2 1.3 1.4 1.4 1.6 1.7
"AW2" "AW" "ps" 169 1.34733727810651 0.117546894774463 1.1 1.2 1.3 1.4 1.4 1.5 1.8
"AW3" "AW" "st" 74 1.30675675675676 0.099768335879335 1.1 1.2 1.2 1.3 1.4 1.435 1.6
"ALW" "ALW" "hybr" 85 2.532 0.211540832487546 2.17 2.23 2.37 2.52 2.63 2.928 3.29
"ALW1" "ALW" "ph" 125 2.4436 0.198767979507312 1.89 2.134 2.33 2.43 2.57 2.776 3.1
"ALW2" "ALW" "ps" 169 2.56467455621302 0.217565084687205 2 2.23 2.42 2.57 2.71 2.946 3.11
"ALW3" "ALW" "st" 74 2.44108108108108 0.237645802787209 1.99 2.12 2.285 2.4 2.56 2.851 3.26
"AP" "AP" "hybr" 85 0.944705882352941 0.229131841000381 0.4 0.62 0.8 0.9 1.1 1.36 1.6
"AP1" "AP" "ph" 125 0.9648 0.271571294031485 0.4 0.6 0.8 1 1.1 1.4 1.7
"AP2" "AP" "ps" 169 1.04378698224852 0.246595585777133 0.6 0.7 0.9 1 1.2 1.5 2
"AP3" "AP" "st" 74 0.735135135135135 0.223565400582587 0.1 0.4 0.6 0.7 0.9 1.135 1.3
