Spearman	SN	SF	ST	SFT	LL	LW	LLW	LM	LBA	LBS	LS	IL	IW	ILW	CG	ML	MW	MLW	MF	IS	IV	AL	AW	ALW	AP
CG	0.062	0.348	0.241	0.238	0.153	0.145	-0.027	-0.029	-0.078	0.139	-0.145	0.105	0.097	-0.044	1	0.121	0.022	0.02	0.116	0.043	0.084	-0.025	-0.048	0.031	0.035
ML	-0.045	0.013	-0.051	0.044	0.086	0.153	-0.135	-0.179	-0.011	0.343	-0.099	0.365	0.092	0.153	0.121	1	-0.257	0.6	0.498	0.349	0.657	0.136	-0.111	0.249	0.083
MW	-0.145	0.388	0.05	0.395	0.087	0.218	-0.211	0.217	-0.443	0.161	-0.42	0.288	0.606	-0.644	0.022	-0.257	1	-0.901	0.187	-0.245	-0.389	0.122	0.232	-0.114	0.24
MLW	0.089	-0.327	-0.076	-0.314	-0.015	-0.115	0.138	-0.223	0.376	-0.02	0.32	-0.081	-0.456	0.588	0.02	0.6	-0.901	1	0.05	0.331	0.572	-0.027	-0.22	0.194	-0.164
MF	0.142	0.147	0.205	0.052	0.216	0.213	-0.056	-0.105	-0.2	0.293	-0.218	0.402	0.362	-0.212	0.116	0.498	0.187	0.05	1	0.229	0.321	0.14	-0.029	0.173	0.145
IS	0.092	-0.025	0.059	-0.051	0.134	0.165	-0.084	-0.134	0.034	0.179	-0.002	0.115	-0.021	0.122	0.043	0.349	-0.245	0.331	0.229	1	0.408	-0.024	-0.164	0.14	-0.08
IV	0.007	-0.057	-0.03	-0.052	0.068	0.104	-0.08	-0.175	0.133	0.246	0.044	0.127	-0.071	0.214	0.084	0.657	-0.389	0.572	0.321	0.408	1	0.089	-0.141	0.225	0.005
AL	-0.098	0.146	-0.022	0.164	0.161	0.236	-0.163	0.041	-0.15	0.11	-0.159	0.254	0.245	-0.146	-0.025	0.136	0.122	-0.027	0.14	-0.024	0.089	1	0.323	0.511	0.199
AW	-0.079	0.092	-0.026	0.119	0.1	0.122	-0.072	0.06	-0.029	0.055	-0.096	0.086	0.168	-0.159	-0.048	-0.111	0.232	-0.22	-0.029	-0.164	-0.141	0.323	1	-0.572	0.089
ALW	-0.027	0.052	-0.006	0.043	0.039	0.087	-0.08	-0.036	-0.091	0.086	-0.037	0.144	0.059	0.019	0.031	0.249	-0.114	0.194	0.173	0.14	0.225	0.511	-0.572	1	0.082
AP	-0.124	0.118	-0.09	0.159	-0.021	0.152	-0.228	0.099	-0.2	0.187	-0.212	0.219	0.252	-0.154	0.035	0.083	0.24	-0.164	0.145	-0.08	0.005	0.199	0.089	0.082	1
